Вопрос,Ответ
0,"ПРЕПАРАТОМ, НАИБОЛЕЕ ПРЕДПОЧТИТЕЛЬНЫМ ПРИ КАРДИОГЕННОМ ШОКЕ, СОПРОВОЖДАЮЩЕМ ИНФАРКТ МИОКАРДА, ЯВЛЯЕТСЯ:        
А допамин
Б адреналин
В поляризующая смесь
Г норадреналин",Г норадреналин
1,"НАИБОЛЕЕ ЧАСТОЙ ПРИЧИНОЙ СМЕРТИ НА ДОГОСПИТАЛЬНОМ ЭТАПЕ В ПЕРВЫЕ ЧАСЫ РАЗВИТИЯ ОСТРОГО ИНФАРКТА МИОКАРДА С ПОДЪЕМОМ СЕГМЕНТА ST ЯВЛЯЕТСЯ:        
А фибрилляция желудочков
Б электромеханическая диссоциация
В АВ-блокада 2-3 степени
Г фибрилляция предсердий",А фибрилляция желудочков
2,"АБСОЛЮТНЫМ ПРОТИВОПОКАЗАНИЕМ К ТРОМБОЛИТИЧЕСКОЙ ТЕРАПИИ ЯВЛЯЕТСЯ:
А возраст более 80 лет
Б геморрагический инсульт в анамнезе
В кровоточащий наружный геморрой
Г перенесенный ишемический инсульт 1 год назад
",Б геморрагический инсульт в анамнезе
3,"РОСТУ АТЕРОСКЛЕРОТИЧЕСКОЙ БЛЯШКИ СПОСОБСТВУЕТ УВЕЛИЧЕНИЕ:
А холестерина липопротеидов высокой плотности
Б холестерина липопротеидов низкой плотности
В хиломикронов
Г уровня кальция в крови
",Б холестерина липопротеидов низкой плотности
4,"ОСНОВНЫМ МЕТОДОМ ЛЕЧЕНИЯ ПЕРВИЧНОЙ ГОМОЗИГОТНОЙ ГИПЕРХОЛЕСТЕРИНЭМИИ ЯВЛЯЕТСЯ:
А прием высоких доз статинов
Б строгое соблюдение диеты
В применение ингибиторов PCSK9
Гэкстракорпоральный метод
",Гэкстракорпоральный метод
5,"ПРИ НИЗКОМ СУММАРНОМ КАРДИОВАСКУЛЯРНОМ РИСКЕ ПО SCORE НАЗНАЧЕНИЕ ГИПОЛИПИДЕМИЧЕСКОЙ ЛЕКАРСТВЕННОЙ ТЕРАПИИ ВОЗМОЖНО ПРИ УРОВНЕ ХС ЛПНП В ОТСУТСТВИЕ ЭФФЕКТА ОТ НЕМЕДИКАМЕНТОЗНОЙ ТЕРАПИИ (ESC, 2016) ______ ММОЛЬ/Л И ВЫШЕ:
А 2,5
Б 4,0
В 1,8
Г 5,0
","Г 5,0"
6,"МАКСИМАЛЬНЫМ ЭФФЕКТОМ СНИЖЕНИЯ ЛИПОПРОТЕИДА (А) ОБЛАДАЮТ:
А статины
Б препараты никотиновой кислоты
В фибраты
Г секвестранты желчных кислот
",Б препараты никотиновой кислоты
7,"АНТИАРИТМИЧЕСКИМ ПРЕПАРАТОМ III КЛАССА ЯВЛЯЕТСЯ:
А метопролол
Б амиодарон
В прокаинамид
Г пропранолол
",Б амиодарон
8,"ПРИ НЕОСЛОЖНЁННОМ ГИПЕРТОНИЧЕСКОМ КРИЗЕ ПРЕДПОЧТИТЕЛЬНЫМ ПУТЁМ ВВЕДЕНИЯ ЛЕКАРСТВЕННЫХ СРЕДСТВ ЯВЛЯЕТСЯ:
А сублингвальный
Б внутривенный
В подкожный
Г внутримышечный
",А сублингвальный
9,"ГИПОЛИПИДЕМИЧЕСКИЙ ЭФФЕКТ ЗА СЧЕТ АКТИВАЦИИ ЭНДОТЕЛИАЛЬНОЙ И ПЕЧЕНОЧНОЙ ЛИПАЗЫ ХАРАКТЕРЕН ДЛЯ:
А аторвастатина
Б эзитимиба
В фенофибрата
Г омакора
",В фенофибрата
